Mois,Code canal,Catégorie,Type de dépense,Paiements,Montant
2025-06-01,MOBILE,Énergie et télécom,Essentielle,113,4102.66
2025-06-01,PARTNER,Énergie et télécom,Essentielle,14,558.42
2025-07-01,MOBILE,Énergie et télécom,Essentielle,138,5069.72
2025-07-01,WEB,Énergie et télécom,Essentielle,56,2358.01
2025-07-01,PARTNER,Énergie et télécom,Essentielle,13,532.59
2025-08-01,WEB,Énergie et télécom,Essentielle,75,2825.7
2025-08-01,MOBILE,Énergie et télécom,Essentielle,166,6297.87
2025-08-01,PARTNER,Énergie et télécom,Essentielle,18,795.11
2025-09-01,WEB,Énergie et télécom,Essentielle,81,3034.85
2025-09-01,MOBILE,Énergie et télécom,Essentielle,170,6865.74
2025-09-01,PARTNER,Énergie et télécom,Essentielle,18,688.94
2025-10-01,MOBILE,Énergie et télécom,Essentielle,242,8844.23
2025-10-01,WEB,Énergie et télécom,Essentielle,127,4916.07
2025-10-01,PARTNER,Énergie et télécom,Essentielle,27,925.14
2025-11-01,WEB,Énergie et télécom,Essentielle,149,5640.31
2025-11-01,MOBILE,Énergie et télécom,Essentielle,255,9634.46
2025-11-01,PARTNER,Énergie et télécom,Essentielle,22,786.66
2025-12-01,MOBILE,Énergie et télécom,Essentielle,288,10469.1
2025-12-01,WEB,Énergie et télécom,Essentielle,171,6157.23
2025-12-01,PARTNER,Énergie et télécom,Essentielle,35,1213.83
2026-01-01,MOBILE,Énergie et télécom,Essentielle,244,9549.79
2026-01-01,PARTNER,Énergie et télécom,Essentielle,36,1282.19
2026-01-01,WEB,Énergie et télécom,Essentielle,165,5878.06
2026-02-01,MOBILE,Énergie et télécom,Essentielle,277,10115.06
2026-02-01,WEB,Énergie et télécom,Essentielle,170,6315.53
2026-02-01,PARTNER,Énergie et télécom,Essentielle,28,1099.94
2026-03-01,MOBILE,Énergie et télécom,Essentielle,375,13885.91
2026-03-01,WEB,Énergie et télécom,Essentielle,174,6504.9
2026-03-01,PARTNER,Énergie et télécom,Essentielle,54,1917.51
2026-04-01,MOBILE,Énergie et télécom,Essentielle,387,14340.38
2026-04-01,WEB,Énergie et télécom,Essentielle,181,7125.86
2026-04-01,PARTNER,Énergie et télécom,Essentielle,38,1408.8
2026-05-01,WEB,Énergie et télécom,Essentielle,212,8207.91
2026-05-01,MOBILE,Énergie et télécom,Essentielle,392,14493.49
2026-05-01,PARTNER,Énergie et télécom,Essentielle,39,1252.59
2026-06-01,MOBILE,Énergie et télécom,Essentielle,423,16074.15
2026-06-01,WEB,Énergie et télécom,Essentielle,241,9042.4
2026-06-01,PARTNER,Énergie et télécom,Essentielle,42,1471.85
