Mois,Code canal,Type opération,Résultat,Motif échec,Type et motif,Tentatives,Montant demandé
2025-09-01,MOBILE,Ouverture de compte,Réussite,Aucun,Ouverture de compte,98,0.0
2025-09-01,WEB,Dépôt,Réussite,Aucun,Dépôt,274,284416.58
2025-09-01,MOBILE,Dépôt,Réussite,Aucun,Dépôt,466,433458.94
2025-09-01,PARTNER,Dépôt,Réussite,Aucun,Dépôt,63,67625.05
2025-09-01,MOBILE,Connexion,Réussite,Aucun,Connexion,1769,0.0
2025-09-01,MOBILE,Virement,Échec,solde insuffisant,Virement : solde insuffisant,39,43643.0
2025-09-01,WEB,Paiement carte,Réussite,Aucun,Paiement carte,1522,62323.17
2025-09-01,MOBILE,Consultation du solde,Réussite,Aucun,Consultation du solde,1123,0.0
2025-09-01,MOBILE,Retrait,Réussite,Aucun,Retrait,295,180598.32
2025-09-01,MOBILE,Clôture de compte,Réussite,Aucun,Clôture de compte,5,0.0
2025-09-01,WEB,Connexion,Réussite,Aucun,Connexion,939,0.0
2025-09-01,WEB,Consultation du solde,Réussite,Aucun,Consultation du solde,608,0.0
2025-09-01,MOBILE,Paiement carte,Échec,solde insuffisant,Paiement carte : solde insuffisant,301,18952.53
2025-09-01,PARTNER,Paiement carte,Réussite,Aucun,Paiement carte,295,12976.1
2025-09-01,MOBILE,Virement,Réussite,Aucun,Virement,356,121940.0
2025-09-01,PARTNER,Connexion,Réussite,Aucun,Connexion,194,0.0
2025-09-01,PARTNER,Consultation du solde,Réussite,Aucun,Consultation du solde,119,0.0
2025-09-01,WEB,Retrait,Réussite,Aucun,Retrait,155,90009.0
2025-09-01,WEB,Virement,Réussite,Aucun,Virement,173,66588.0
2025-09-01,PARTNER,Paiement carte,Échec,solde insuffisant,Paiement carte : solde insuffisant,27,1610.39
2025-09-01,PARTNER,Connexion,Échec,code PIN erroné,Connexion : code PIN erroné,7,0.0
2025-09-01,WEB,Virement,Échec,virement vers soi-même,Virement : virement vers soi-même,2,458.0
2025-09-01,WEB,Paiement carte,Échec,solde insuffisant,Paiement carte : solde insuffisant,123,10197.01
2025-09-01,MOBILE,Connexion,Échec,code PIN erroné,Connexion : code PIN erroné,73,0.0
2025-09-01,PARTNER,Virement,Réussite,Aucun,Virement,45,23401.0
2025-09-01,PARTNER,Virement,Échec,numéro de carte invalide,Virement : numéro de carte invalide,1,288.0
2025-09-01,WEB,Connexion,Échec,code PIN erroné,Connexion : code PIN erroné,33,0.0
2025-09-01,PARTNER,Ouverture de compte,Réussite,Aucun,Ouverture de compte,18,0.0
2025-09-01,UNKNOWN,Connexion,Échec,numéro de carte invalide,Connexion : numéro de carte invalide,64,0.0
2025-09-01,MOBILE,Retrait,Échec,solde insuffisant,Retrait : solde insuffisant,14,140.0
2025-09-01,UNKNOWN,Connexion,Échec,carte inconnue,Connexion : carte inconnue,2,0.0
2025-09-01,PARTNER,Retrait,Réussite,Aucun,Retrait,27,21109.0
2025-09-01,WEB,Virement,Échec,solde insuffisant,Virement : solde insuffisant,11,24496.0
2025-09-01,WEB,Retrait,Échec,solde insuffisant,Retrait : solde insuffisant,6,60.0
2025-09-01,WEB,Virement,Échec,montant invalide,Virement : montant invalide,2,0.0
2025-09-01,WEB,Virement,Échec,numéro de carte invalide,Virement : numéro de carte invalide,12,3985.0
2025-09-01,MOBILE,Virement,Échec,numéro de carte invalide,Virement : numéro de carte invalide,12,3288.0
2025-09-01,PARTNER,Virement,Échec,solde insuffisant,Virement : solde insuffisant,3,3193.0
2025-09-01,MOBILE,Virement,Échec,virement vers soi-même,Virement : virement vers soi-même,4,2532.0
2025-09-01,WEB,Dépôt,Échec,montant invalide,Dépôt : montant invalide,1,0.0
2025-09-01,MOBILE,Dépôt,Échec,montant invalide,Dépôt : montant invalide,1,0.0
2025-09-01,MOBILE,Virement,Échec,carte inconnue,Virement : carte inconnue,2,643.0
2025-09-01,PARTNER,Retrait,Échec,solde insuffisant,Retrait : solde insuffisant,1,10.0
2025-10-01,MOBILE,Paiement carte,Réussite,Aucun,Paiement carte,3700,151138.26
2025-10-01,MOBILE,Ouverture de compte,Réussite,Aucun,Ouverture de compte,88,0.0
2025-10-01,WEB,Paiement carte,Réussite,Aucun,Paiement carte,1878,76597.57
2025-10-01,MOBILE,Connexion,Réussite,Aucun,Connexion,2225,0.0
2025-10-01,MOBILE,Consultation du solde,Réussite,Aucun,Consultation du solde,1456,0.0
2025-10-01,WEB,Dépôt,Réussite,Aucun,Dépôt,303,326067.9
2025-10-01,MOBILE,Dépôt,Réussite,Aucun,Dépôt,551,511511.36
2025-10-01,PARTNER,Dépôt,Réussite,Aucun,Dépôt,77,86744.27
2025-10-01,WEB,Connexion,Réussite,Aucun,Connexion,1121,0.0
2025-10-01,WEB,Consultation du solde,Réussite,Aucun,Consultation du solde,748,0.0
2025-10-01,PARTNER,Paiement carte,Réussite,Aucun,Paiement carte,438,17468.49
2025-10-01,MOBILE,Paiement carte,Échec,solde insuffisant,Paiement carte : solde insuffisant,362,20867.04
2025-10-01,WEB,Retrait,Échec,solde insuffisant,Retrait : solde insuffisant,7,70.0
2025-10-01,PARTNER,Connexion,Réussite,Aucun,Connexion,278,0.0
2025-10-01,PARTNER,Virement,Réussite,Aucun,Virement,37,12265.0
2025-10-01,MOBILE,Virement,Réussite,Aucun,Virement,424,181162.0
2025-10-01,WEB,Virement,Réussite,Aucun,Virement,226,93909.0
2025-10-01,PARTNER,Consultation du solde,Réussite,Aucun,Consultation du solde,205,0.0
2025-10-01,PARTNER,Paiement carte,Échec,solde insuffisant,Paiement carte : solde insuffisant,31,2353.83
2025-10-01,WEB,Virement,Échec,solde insuffisant,Virement : solde insuffisant,14,11001.0
2025-10-01,UNKNOWN,Connexion,Échec,numéro de carte invalide,Connexion : numéro de carte invalide,74,0.0
2025-10-01,MOBILE,Connexion,Échec,code PIN erroné,Connexion : code PIN erroné,78,0.0
2025-10-01,WEB,Paiement carte,Échec,solde insuffisant,Paiement carte : solde insuffisant,122,7730.43
2025-10-01,MOBILE,Retrait,Échec,solde insuffisant,Retrait : solde insuffisant,18,180.0
2025-10-01,WEB,Retrait,Réussite,Aucun,Retrait,187,139558.94
2025-10-01,PARTNER,Connexion,Échec,code PIN erroné,Connexion : code PIN erroné,6,0.0
2025-10-01,MOBILE,Retrait,Réussite,Aucun,Retrait,373,236021.63
2025-10-01,WEB,Ouverture de compte,Réussite,Aucun,Ouverture de compte,38,0.0
2025-10-01,WEB,Connexion,Échec,code PIN erroné,Connexion : code PIN erroné,58,0.0
2025-10-01,MOBILE,Virement,Échec,solde insuffisant,Virement : solde insuffisant,44,51097.0
2025-10-01,PARTNER,Retrait,Réussite,Aucun,Retrait,43,24261.89
2025-10-01,UNKNOWN,Connexion,Échec,carte inconnue,Connexion : carte inconnue,2,0.0
2025-10-01,MOBILE,Virement,Échec,bénéficiaire clôturé,Virement : bénéficiaire clôturé,2,1313.0
2025-10-01,MOBILE,Virement,Échec,montant invalide,Virement : montant invalide,3,0.0
2025-10-01,PARTNER,Ouverture de compte,Réussite,Aucun,Ouverture de compte,14,0.0
2025-10-01,PARTNER,Virement,Échec,numéro de carte invalide,Virement : numéro de carte invalide,4,1257.0
2025-10-01,MOBILE,Clôture de compte,Réussite,Aucun,Clôture de compte,2,0.0
2025-10-01,MOBILE,Virement,Échec,numéro de carte invalide,Virement : numéro de carte invalide,19,14190.0
2025-10-01,WEB,Clôture de compte,Réussite,Aucun,Clôture de compte,3,0.0
2025-10-01,WEB,Virement,Échec,numéro de carte invalide,Virement : numéro de carte invalide,6,5936.0
2025-10-01,PARTNER,Virement,Échec,bénéficiaire clôturé,Virement : bénéficiaire clôturé,1,2313.0
2025-10-01,WEB,Virement,Échec,virement vers soi-même,Virement : virement vers soi-même,1,314.0
2025-10-01,PARTNER,Clôture de compte,Réussite,Aucun,Clôture de compte,1,0.0
2025-10-01,WEB,Virement,Échec,bénéficiaire clôturé,Virement : bénéficiaire clôturé,2,199.0
2025-10-01,PARTNER,Virement,Échec,solde insuffisant,Virement : solde insuffisant,3,5747.0
2025-10-01,WEB,Virement,Échec,montant invalide,Virement : montant invalide,1,0.0
2025-10-01,MOBILE,Virement,Échec,carte inconnue,Virement : carte inconnue,2,930.0
2025-10-01,PARTNER,Retrait,Échec,solde insuffisant,Retrait : solde insuffisant,1,10.0
2025-11-01,MOBILE,Connexion,Réussite,Aucun,Connexion,2409,0.0
2025-11-01,MOBILE,Consultation du solde,Réussite,Aucun,Consultation du solde,1568,0.0
2025-11-01,WEB,Paiement carte,Réussite,Aucun,Paiement carte,2370,95539.47
2025-11-01,MOBILE,Dépôt,Réussite,Aucun,Dépôt,604,607170.84
2025-11-01,WEB,Paiement carte,Échec,solde insuffisant,Paiement carte : solde insuffisant,178,11546.99
2025-11-01,MOBILE,Paiement carte,Réussite,Aucun,Paiement carte,4685,194645.3
2025-11-01,MOBILE,Paiement carte,Échec,solde insuffisant,Paiement carte : solde insuffisant,392,24567.34
2025-11-01,WEB,Dépôt,Réussite,Aucun,Dépôt,332,378137.56
2025-11-01,PARTNER,Dépôt,Réussite,Aucun,Dépôt,71,75028.04
2025-11-01,WEB,Connexion,Réussite,Aucun,Connexion,1258,0.0
2025-11-01,WEB,Consultation du solde,Réussite,Aucun,Consultation du solde,846,0.0
2025-11-01,MOBILE,Virement,Réussite,Aucun,Virement,518,193260.0
2025-11-01,MOBILE,Retrait,Réussite,Aucun,Retrait,432,262359.43
2025-11-01,PARTNER,Connexion,Réussite,Aucun,Connexion,263,0.0
2025-11-01,PARTNER,Consultation du solde,Réussite,Aucun,Consultation du solde,187,0.0
2025-11-01,PARTNER,Paiement carte,Échec,solde insuffisant,Paiement carte : solde insuffisant,36,1456.38
2025-11-01,PARTNER,Paiement carte,Réussite,Aucun,Paiement carte,487,19655.74
2025-11-01,MOBILE,Connexion,Échec,code PIN erroné,Connexion : code PIN erroné,90,0.0
2025-11-01,MOBILE,Virement,Échec,numéro de carte invalide,Virement : numéro de carte invalide,24,8616.0
2025-11-01,WEB,Virement,Réussite,Aucun,Virement,242,109701.0
2025-11-01,UNKNOWN,Connexion,Échec,numéro de carte invalide,Connexion : numéro de carte invalide,80,0.0
2025-11-01,WEB,Retrait,Réussite,Aucun,Retrait,224,165007.53
2025-11-01,MOBILE,Virement,Échec,solde insuffisant,Virement : solde insuffisant,54,70539.0
2025-11-01,PARTNER,Virement,Réussite,Aucun,Virement,47,19072.0
2025-11-01,PARTNER,Retrait,Réussite,Aucun,Retrait,41,32013.0
2025-11-01,MOBILE,Retrait,Échec,solde insuffisant,Retrait : solde insuffisant,9,90.0
2025-11-01,MOBILE,Ouverture de compte,Réussite,Aucun,Ouverture de compte,54,0.0
2025-11-01,WEB,Ouverture de compte,Réussite,Aucun,Ouverture de compte,36,0.0
2025-11-01,WEB,Connexion,Échec,code PIN erroné,Connexion : code PIN erroné,43,0.0
2025-11-01,WEB,Virement,Échec,solde insuffisant,Virement : solde insuffisant,18,29568.0
2025-11-01,WEB,Retrait,Échec,solde insuffisant,Retrait : solde insuffisant,3,30.0
2025-11-01,WEB,Virement,Échec,numéro de carte invalide,Virement : numéro de carte invalide,11,14565.0
2025-11-01,WEB,Clôture de compte,Réussite,Aucun,Clôture de compte,4,0.0
2025-11-01,PARTNER,Ouverture de compte,Réussite,Aucun,Ouverture de compte,8,0.0
2025-11-01,PARTNER,Connexion,Échec,code PIN erroné,Connexion : code PIN erroné,9,0.0
2025-11-01,MOBILE,Virement,Échec,bénéficiaire clôturé,Virement : bénéficiaire clôturé,3,660.0
2025-11-01,MOBILE,Dépôt,Échec,montant invalide,Dépôt : montant invalide,3,0.0
2025-11-01,UNKNOWN,Connexion,Échec,carte inconnue,Connexion : carte inconnue,1,0.0
2025-11-01,PARTNER,Virement,Échec,carte inconnue,Virement : carte inconnue,1,407.0
2025-11-01,MOBILE,Virement,Échec,virement vers soi-même,Virement : virement vers soi-même,3,1114.0
2025-11-01,PARTNER,Virement,Échec,solde insuffisant,Virement : solde insuffisant,2,932.0
2025-11-01,PARTNER,Virement,Échec,bénéficiaire clôturé,Virement : bénéficiaire clôturé,1,652.0
2025-11-01,WEB,Virement,Échec,montant invalide,Virement : montant invalide,1,0.0
2025-11-01,WEB,Virement,Échec,virement vers soi-même,Virement : virement vers soi-même,2,241.0
2025-11-01,MOBILE,Clôture de compte,Réussite,Aucun,Clôture de compte,2,0.0
2025-11-01,WEB,Dépôt,Échec,montant invalide,Dépôt : montant invalide,1,0.0
2025-11-01,MOBILE,Virement,Échec,montant invalide,Virement : montant invalide,1,0.0
2025-11-01,WEB,Virement,Échec,bénéficiaire clôturé,Virement : bénéficiaire clôturé,1,454.0
2025-11-01,PARTNER,Virement,Échec,numéro de carte invalide,Virement : numéro de carte invalide,1,761.0
2025-12-01,MOBILE,Paiement carte,Échec,solde insuffisant,Paiement carte : solde insuffisant,508,32631.8
2025-12-01,WEB,Connexion,Réussite,Aucun,Connexion,1406,0.0
2025-12-01,WEB,Consultation du solde,Réussite,Aucun,Consultation du solde,926,0.0
2025-12-01,MOBILE,Connexion,Réussite,Aucun,Connexion,2556,0.0
2025-12-01,MOBILE,Consultation du solde,Réussite,Aucun,Consultation du solde,1669,0.0
2025-12-01,MOBILE,Paiement carte,Réussite,Aucun,Paiement carte,5817,248197.11
2025-12-01,WEB,Dépôt,Réussite,Aucun,Dépôt,347,416001.11
2025-12-01,MOBILE,Retrait,Réussite,Aucun,Retrait,504,331353.01
2025-12-01,WEB,Paiement carte,Réussite,Aucun,Paiement carte,3044,128408.29
2025-12-01,MOBILE,Dépôt,Réussite,Aucun,Dépôt,631,717319.58
2025-12-01,PARTNER,Dépôt,Réussite,Aucun,Dépôt,79,77159.27
2025-12-01,PARTNER,Connexion,Réussite,Aucun,Connexion,322,0.0
2025-12-01,PARTNER,Virement,Réussite,Aucun,Virement,69,36017.0
2025-12-01,PARTNER,Paiement carte,Réussite,Aucun,Paiement carte,676,28314.22
2025-12-01,WEB,Paiement carte,Échec,solde insuffisant,Paiement carte : solde insuffisant,270,19072.55
2025-12-01,MOBILE,Ouverture de compte,Réussite,Aucun,Ouverture de compte,50,0.0
2025-12-01,MOBILE,Connexion,Échec,code PIN erroné,Connexion : code PIN erroné,107,0.0
2025-12-01,MOBILE,Virement,Réussite,Aucun,Virement,521,244396.0
2025-12-01,PARTNER,Consultation du solde,Réussite,Aucun,Consultation du solde,212,0.0
2025-12-01,MOBILE,Virement,Échec,solde insuffisant,Virement : solde insuffisant,54,82588.0
2025-12-01,WEB,Retrait,Réussite,Aucun,Retrait,261,181144.0
2025-12-01,PARTNER,Paiement carte,Échec,solde insuffisant,Paiement carte : solde insuffisant,41,2930.69
2025-12-01,WEB,Virement,Réussite,Aucun,Virement,273,133060.0
2025-12-01,UNKNOWN,Connexion,Échec,numéro de carte invalide,Connexion : numéro de carte invalide,82,0.0
2025-12-01,WEB,Virement,Échec,solde insuffisant,Virement : solde insuffisant,27,27361.0
2025-12-01,WEB,Retrait,Échec,solde insuffisant,Retrait : solde insuffisant,7,70.0
2025-12-01,MOBILE,Retrait,Échec,solde insuffisant,Retrait : solde insuffisant,12,120.0
2025-12-01,WEB,Connexion,Échec,code PIN erroné,Connexion : code PIN erroné,44,0.0
2025-12-01,MOBILE,Virement,Échec,numéro de carte invalide,Virement : numéro de carte invalide,36,19908.0
2025-12-01,WEB,Virement,Échec,numéro de carte invalide,Virement : numéro de carte invalide,10,2761.0
2025-12-01,PARTNER,Ouverture de compte,Réussite,Aucun,Ouverture de compte,12,0.0
2025-12-01,PARTNER,Retrait,Réussite,Aucun,Retrait,53,41110.61
2025-12-01,PARTNER,Virement,Échec,solde insuffisant,Virement : solde insuffisant,8,11244.0
2025-12-01,WEB,Virement,Échec,bénéficiaire clôturé,Virement : bénéficiaire clôturé,2,3574.0
2025-12-01,WEB,Ouverture de compte,Réussite,Aucun,Ouverture de compte,39,0.0
2025-12-01,MOBILE,Clôture de compte,Réussite,Aucun,Clôture de compte,6,0.0
2025-12-01,MOBILE,Dépôt,Échec,montant invalide,Dépôt : montant invalide,1,0.0
2025-12-01,PARTNER,Connexion,Échec,code PIN erroné,Connexion : code PIN erroné,5,0.0
2025-12-01,MOBILE,Virement,Échec,carte inconnue,Virement : carte inconnue,3,561.0
2025-12-01,WEB,Dépôt,Échec,montant invalide,Dépôt : montant invalide,1,0.0
2025-12-01,MOBILE,Virement,Échec,virement vers soi-même,Virement : virement vers soi-même,2,557.0
2025-12-01,MOBILE,Virement,Échec,bénéficiaire clôturé,Virement : bénéficiaire clôturé,2,493.0
2025-12-01,PARTNER,Clôture de compte,Réussite,Aucun,Clôture de compte,1,0.0
2025-12-01,UNKNOWN,Connexion,Échec,carte inconnue,Connexion : carte inconnue,1,0.0
2025-12-01,WEB,Virement,Échec,virement vers soi-même,Virement : virement vers soi-même,1,13.0
2026-01-01,MOBILE,Paiement carte,Réussite,Aucun,Paiement carte,4569,192163.95
2026-01-01,WEB,Ouverture de compte,Réussite,Aucun,Ouverture de compte,55,0.0
2026-01-01,WEB,Connexion,Réussite,Aucun,Connexion,1579,0.0
2026-01-01,WEB,Consultation du solde,Réussite,Aucun,Consultation du solde,1014,0.0
2026-01-01,WEB,Dépôt,Réussite,Aucun,Dépôt,416,490658.21
2026-01-01,MOBILE,Dépôt,Réussite,Aucun,Dépôt,704,718896.11
2026-01-01,PARTNER,Dépôt,Réussite,Aucun,Dépôt,86,75689.48
2026-01-01,PARTNER,Paiement carte,Réussite,Aucun,Paiement carte,474,16844.67
2026-01-01,PARTNER,Connexion,Réussite,Aucun,Connexion,338,0.0
2026-01-01,PARTNER,Retrait,Réussite,Aucun,Retrait,58,39565.59
2026-01-01,MOBILE,Connexion,Réussite,Aucun,Connexion,2821,0.0
2026-01-01,MOBILE,Consultation du solde,Réussite,Aucun,Consultation du solde,1868,0.0
2026-01-01,WEB,Paiement carte,Réussite,Aucun,Paiement carte,2568,106333.7
2026-01-01,MOBILE,Virement,Réussite,Aucun,Virement,538,225810.0
2026-01-01,WEB,Virement,Réussite,Aucun,Virement,319,146347.0
2026-01-01,MOBILE,Paiement carte,Échec,solde insuffisant,Paiement carte : solde insuffisant,336,18921.46
2026-01-01,PARTNER,Consultation du solde,Réussite,Aucun,Consultation du solde,234,0.0
2026-01-01,WEB,Connexion,Échec,code PIN erroné,Connexion : code PIN erroné,72,0.0
2026-01-01,WEB,Virement,Échec,numéro de carte invalide,Virement : numéro de carte invalide,22,11570.0
2026-01-01,WEB,Paiement carte,Échec,solde insuffisant,Paiement carte : solde insuffisant,155,8964.7
2026-01-01,PARTNER,Connexion,Échec,code PIN erroné,Connexion : code PIN erroné,9,0.0
2026-01-01,PARTNER,Paiement carte,Échec,solde insuffisant,Paiement carte : solde insuffisant,26,1917.08
2026-01-01,MOBILE,Virement,Échec,solde insuffisant,Virement : solde insuffisant,59,74213.0
2026-01-01,MOBILE,Connexion,Échec,code PIN erroné,Connexion : code PIN erroné,91,0.0
2026-01-01,WEB,Retrait,Réussite,Aucun,Retrait,289,215951.5
2026-01-01,MOBILE,Virement,Échec,virement vers soi-même,Virement : virement vers soi-même,3,931.0
2026-01-01,MOBILE,Ouverture de compte,Réussite,Aucun,Ouverture de compte,77,0.0
2026-01-01,UNKNOWN,Connexion,Échec,numéro de carte invalide,Connexion : numéro de carte invalide,97,0.0
2026-01-01,MOBILE,Retrait,Échec,solde insuffisant,Retrait : solde insuffisant,16,160.0
2026-01-01,PARTNER,Virement,Réussite,Aucun,Virement,57,35307.0
2026-01-01,WEB,Dépôt,Échec,montant invalide,Dépôt : montant invalide,1,0.0
2026-01-01,PARTNER,Virement,Échec,solde insuffisant,Virement : solde insuffisant,3,5371.0
2026-01-01,MOBILE,Retrait,Réussite,Aucun,Retrait,519,339838.44
2026-01-01,MOBILE,Virement,Échec,numéro de carte invalide,Virement : numéro de carte invalide,27,16047.0
2026-01-01,WEB,Virement,Échec,solde insuffisant,Virement : solde insuffisant,43,56173.0
2026-01-01,PARTNER,Ouverture de compte,Réussite,Aucun,Ouverture de compte,21,0.0
2026-01-01,MOBILE,Clôture de compte,Réussite,Aucun,Clôture de compte,8,0.0
2026-01-01,MOBILE,Virement,Échec,bénéficiaire clôturé,Virement : bénéficiaire clôturé,2,2019.0
2026-01-01,WEB,Clôture de compte,Réussite,Aucun,Clôture de compte,1,0.0
2026-01-01,WEB,Virement,Échec,bénéficiaire clôturé,Virement : bénéficiaire clôturé,2,325.0
2026-01-01,PARTNER,Virement,Échec,numéro de carte invalide,Virement : numéro de carte invalide,3,1257.0
2026-01-01,MOBILE,Virement,Échec,carte inconnue,Virement : carte inconnue,2,77.0
2026-01-01,MOBILE,Virement,Échec,montant invalide,Virement : montant invalide,2,0.0
2026-01-01,WEB,Retrait,Échec,solde insuffisant,Retrait : solde insuffisant,3,30.0
2026-01-01,PARTNER,Virement,Échec,bénéficiaire clôturé,Virement : bénéficiaire clôturé,1,12010.0
2026-01-01,UNKNOWN,Connexion,Échec,carte inconnue,Connexion : carte inconnue,1,0.0
2026-01-01,MOBILE,Dépôt,Échec,montant invalide,Dépôt : montant invalide,1,0.0
2026-01-01,WEB,Virement,Échec,virement vers soi-même,Virement : virement vers soi-même,2,1402.0
2026-01-01,PARTNER,Clôture de compte,Réussite,Aucun,Clôture de compte,1,0.0
2026-01-01,WEB,Virement,Échec,carte inconnue,Virement : carte inconnue,1,237.0
2026-02-01,WEB,Ouverture de compte,Réussite,Aucun,Ouverture de compte,26,0.0
2026-02-01,PARTNER,Paiement carte,Échec,solde insuffisant,Paiement carte : solde insuffisant,45,3343.95
2026-02-01,MOBILE,Ouverture de compte,Réussite,Aucun,Ouverture de compte,71,0.0
2026-02-01,PARTNER,Connexion,Réussite,Aucun,Connexion,443,0.0
2026-02-01,PARTNER,Dépôt,Réussite,Aucun,Dépôt,127,97611.6
2026-02-01,MOBILE,Connexion,Réussite,Aucun,Connexion,3011,0.0
2026-02-01,MOBILE,Retrait,Réussite,Aucun,Retrait,534,384565.37
2026-02-01,PARTNER,Consultation du solde,Réussite,Aucun,Consultation du solde,304,0.0
2026-02-01,WEB,Connexion,Réussite,Aucun,Connexion,1758,0.0
2026-02-01,WEB,Dépôt,Réussite,Aucun,Dépôt,416,488734.84
2026-02-01,UNKNOWN,Connexion,Échec,numéro de carte invalide,Connexion : numéro de carte invalide,120,0.0
2026-02-01,MOBILE,Dépôt,Réussite,Aucun,Dépôt,740,801760.91
2026-02-01,WEB,Paiement carte,Échec,solde insuffisant,Paiement carte : solde insuffisant,132,9848.52
2026-02-01,MOBILE,Paiement carte,Réussite,Aucun,Paiement carte,4778,200588.47
2026-02-01,MOBILE,Virement,Réussite,Aucun,Virement,653,302580.0
2026-02-01,WEB,Paiement carte,Réussite,Aucun,Paiement carte,2654,112438.33
2026-02-01,MOBILE,Connexion,Échec,code PIN erroné,Connexion : code PIN erroné,95,0.0
2026-02-01,WEB,Virement,Réussite,Aucun,Virement,388,206028.0
2026-02-01,PARTNER,Ouverture de compte,Réussite,Aucun,Ouverture de compte,14,0.0
2026-02-01,MOBILE,Consultation du solde,Réussite,Aucun,Consultation du solde,1971,0.0
2026-02-01,PARTNER,Retrait,Échec,solde insuffisant,Retrait : solde insuffisant,1,10.0
2026-02-01,MOBILE,Paiement carte,Échec,solde insuffisant,Paiement carte : solde insuffisant,249,15508.05
2026-02-01,WEB,Consultation du solde,Réussite,Aucun,Consultation du solde,1158,0.0
2026-02-01,MOBILE,Virement,Échec,numéro de carte invalide,Virement : numéro de carte invalide,40,22247.0
2026-02-01,PARTNER,Paiement carte,Réussite,Aucun,Paiement carte,611,26522.76
2026-02-01,PARTNER,Retrait,Réussite,Aucun,Retrait,57,41077.41
2026-02-01,WEB,Virement,Échec,numéro de carte invalide,Virement : numéro de carte invalide,25,18084.0
2026-02-01,WEB,Retrait,Réussite,Aucun,Retrait,315,223646.85
2026-02-01,MOBILE,Virement,Échec,virement vers soi-même,Virement : virement vers soi-même,3,1079.0
2026-02-01,PARTNER,Virement,Réussite,Aucun,Virement,81,42311.0
2026-02-01,WEB,Connexion,Échec,code PIN erroné,Connexion : code PIN erroné,77,0.0
2026-02-01,MOBILE,Virement,Échec,solde insuffisant,Virement : solde insuffisant,54,81815.0
2026-02-01,WEB,Retrait,Échec,solde insuffisant,Retrait : solde insuffisant,2,20.0
2026-02-01,MOBILE,Virement,Échec,carte inconnue,Virement : carte inconnue,4,1913.0
2026-02-01,MOBILE,Clôture de compte,Réussite,Aucun,Clôture de compte,9,0.0
2026-02-01,PARTNER,Virement,Échec,solde insuffisant,Virement : solde insuffisant,5,2721.0
2026-02-01,PARTNER,Connexion,Échec,code PIN erroné,Connexion : code PIN erroné,13,0.0
2026-02-01,WEB,Virement,Échec,solde insuffisant,Virement : solde insuffisant,29,64022.0
2026-02-01,MOBILE,Virement,Échec,bénéficiaire clôturé,Virement : bénéficiaire clôturé,7,12960.0
2026-02-01,WEB,Virement,Échec,carte inconnue,Virement : carte inconnue,3,1065.0
2026-02-01,PARTNER,Virement,Échec,bénéficiaire clôturé,Virement : bénéficiaire clôturé,3,1360.0
2026-02-01,PARTNER,Virement,Échec,numéro de carte invalide,Virement : numéro de carte invalide,3,2533.0
2026-02-01,MOBILE,Retrait,Échec,solde insuffisant,Retrait : solde insuffisant,3,30.0
2026-02-01,WEB,Virement,Échec,bénéficiaire clôturé,Virement : bénéficiaire clôturé,2,1426.0
2026-02-01,UNKNOWN,Connexion,Échec,carte inconnue,Connexion : carte inconnue,1,0.0
2026-02-01,WEB,Clôture de compte,Réussite,Aucun,Clôture de compte,2,0.0
2026-02-01,MOBILE,Virement,Échec,montant invalide,Virement : montant invalide,1,0.0
2026-02-01,MOBILE,Dépôt,Échec,montant invalide,Dépôt : montant invalide,1,0.0
2026-02-01,PARTNER,Clôture de compte,Réussite,Aucun,Clôture de compte,1,0.0
2026-02-01,WEB,Virement,Échec,virement vers soi-même,Virement : virement vers soi-même,1,45.0
2026-03-01,WEB,Paiement carte,Réussite,Aucun,Paiement carte,3208,128249.93
2026-03-01,MOBILE,Paiement carte,Échec,solde insuffisant,Paiement carte : solde insuffisant,388,26656.59
2026-03-01,MOBILE,Paiement carte,Réussite,Aucun,Paiement carte,5803,234616.41
2026-03-01,MOBILE,Connexion,Réussite,Aucun,Connexion,3286,0.0
2026-03-01,MOBILE,Consultation du solde,Réussite,Aucun,Consultation du solde,2159,0.0
2026-03-01,MOBILE,Dépôt,Réussite,Aucun,Dépôt,799,862370.17
2026-03-01,PARTNER,Dépôt,Réussite,Aucun,Dépôt,110,123035.85
2026-03-01,WEB,Dépôt,Réussite,Aucun,Dépôt,448,545119.09
2026-03-01,MOBILE,Virement,Échec,numéro de carte invalide,Virement : numéro de carte invalide,32,16529.0
2026-03-01,MOBILE,Virement,Réussite,Aucun,Virement,692,301129.0
2026-03-01,WEB,Connexion,Réussite,Aucun,Connexion,1771,0.0
2026-03-01,WEB,Retrait,Réussite,Aucun,Retrait,310,250613.38
2026-03-01,PARTNER,Paiement carte,Échec,solde insuffisant,Paiement carte : solde insuffisant,51,4893.15
2026-03-01,PARTNER,Ouverture de compte,Réussite,Aucun,Ouverture de compte,14,0.0
2026-03-01,WEB,Paiement carte,Échec,solde insuffisant,Paiement carte : solde insuffisant,136,7799.34
2026-03-01,WEB,Consultation du solde,Réussite,Aucun,Consultation du solde,1207,0.0
2026-03-01,PARTNER,Paiement carte,Réussite,Aucun,Paiement carte,771,31634.09
2026-03-01,MOBILE,Retrait,Réussite,Aucun,Retrait,584,424317.97
2026-03-01,WEB,Connexion,Échec,code PIN erroné,Connexion : code PIN erroné,62,0.0
2026-03-01,UNKNOWN,Connexion,Échec,numéro de carte invalide,Connexion : numéro de carte invalide,107,0.0
